word,Count
remain,11683
squar,13182
focus,5363
respond,11816
fourth,5482
wave,15276
increas,6939
hospit,6609
capac,2010
albertan,386
say,12329
spokesman,13150
brock,1713
harrison,6305
harpermemori,6299
stephen,13304
harper,6293
sold,13007
wheat,15391
board,1518
contract,3004
militari,8891
vehicl,15015
push,11254
babylon,1030
app,685
made,8405
telu,13809
saudi,12310
arabia,729
wendysiegelman,15353
grand,6025
chief,2419
mcgregor,8675
honour,6578
strength,13411
braveri,1642
survivor,13604
address,189
racism,11373
exist,4892
choos,2459
democid,3658
die,3822
horribl,6598
needless,9418
death,3524
essenti,4774
life,8138
save,12318
procedur,11043
cancel,1973
yet,15738
hear,6376
bernierbro,1299
justinbro,7555
provinci,11153
jurisduct,7537
take,13689
freedom,5548
lawyer,7954
argu,754
interfer,7128
maj,8442
gen,5752
fortin,5462
politics,10789
live,8206
feder,5132
mark,8551
ow,10176
oexigjq,9833
en,4578
direct,3875
le,7968
gouvern,5981
fédéral,5671
soulign,13063
la,7838
premièr,10956
journé,7483
de,3505
vérité,15195
et,4783
réconcili,12166
zwyzgjq,15917
polcan,10757
review,11875
newli,9480
schedul,12358
unit,14729
agm,292
april,717
earlier,4337
origin,10031
earli,4336
member,8752
like,8156
superior,13554
judg,7510
brenda,1662
penni,10441
reflect,11600
toxic,14244
environ,4689
requir,11766
suspens,13611
toxictrudeau,14247
divid,4014
least,7993
anoth,617
yr,15794
mayb,8652
long,8262
conservatorship,2952
mani,8487
bare,1110
inocul,7063
risk,11958
destruct,3746
variant,14985
emerg,4544
never,9456
higher,6475
rich,11905
grappl,6038
wane,15229
immun,6852
round,12071
cdnecon,2205
prepared,10961
business,1811
famili,5048
detain,3752
arbitrarili,732
unlaw,14743
prison,11022
camp,1915
syria,13661
accus,145
fail,5005
reason,11509
step,13298
bring,1695
globalnews,5897
longer,8266
feel,5146
crimin,3251
resignkenni,11793
jvipondmd,7573
cdn,2192
highli,6477
far,5059
partisan,10305
worst,15604
su,13466
instead,7093
expos,4934
govt,5996
fault,5093
fawn,5103
attack,892
opposit,9999
carolyn_munro,2060
speaker,13100
hous,6629
staff,13208
here,6442
behind,1253
scene,12355
wultnw,15651
democraci,3659
uphold,14851
landmark,7887
compens,2826
order,10018
firstnat,5267
bloc,1468
tori,14202
con,2866
warp,15246
idea,6773
appar,687
includ,6925
sustain,13615
delta,3644
put,11259
everyon,4836
hofc,6535
translat,14296
ctvnews,3318
ouch,10071
theomoudakis,13959
someth,13028
read,11482
gaslight,5716
nytpolitics,9765
everi,4831
busi,1810
oppos,9998
mandat,8480
lose,8298
forev,5439
period,10473
enough,4647
sure,13582
alon,444
covidiot,3147
troi,14368
roug,12067
plu,10706
ba,1025
sont,13041
nunavut,9742
saskatchewan,12296
ce,2256
doivent,4069
se,12443
réveiller,12175
leur,8069
popul,10830
enoughisenough,4648
cett,2299
cart,2066
du,4245
usa,14880
tout,14235
mond,9084
fait,5026
bien,1346
sauf,12313
mousquetair,9166
pire,10633
tomorrow,14178
pm,10718
special,13103
program,11076
jenn,7365
listen,8192
soundcloud,13066
canadatalks,1945
je,7351
dont,4099
forget,5443
guy,6195
senat,12515
soon,13046
ballot,1074
wonder,15559
ppc,10893
voteppc,15160
hello,6420
liter,8196
tonedeaf,14184
truthandreconciliationday,14441
topoli,14195
joyhenderson,7490
co,2692
oper,9980
curb,3351
greenhous,6080
ga,5673
emiss,4553
phase,10545
oil,9869
develop,3769
engag,4631
real,11492
indigenous,6970
transit,14294
impact,6857
climatejusticenow,2635
nationalobserver,9347
opi,9984
viru,15101
major,8444
use,14884
aggress,287
propaganda,11104
tactic,13676
terror,13861
attach,891
manufactur,8516
corrupt,3076
bureaucrat,1796
filter,5218
milit,8889
government,5989
fund,5639
local,8241
serv,12553
alreadi,451
tomtsec,14181
joy,7486
met,8806
share,12625
stage,13210
inspir,7087
give,5859
hope,6589
today,14155
phenomen,10547
chat,2374
bamcollectivee,1078
surpris,13590
xpmsh,15680
whose,15439
attempt,895
warrantless,15249
mass,8605
surveil,13599
promot,11097
elsewher,4519
cbcnews,2138
lol,8257
chrystia,2494
freeland,5556
carney,2056
wld,15532
differ,3827
group,6141
disenfranchis,3930
arrog,784
dim,3847
noth,9661
earth,4345
flat,5303
wexit,15376
youtub,15786
ban,1079
anyth,660
goe,5937
passport,10328
andrewbostom,562
togeth,14159
justtransit,7568
basicincom,1134
send,12520
messag,8802
leader,7971
call,1894
cooper,3030
leadnow,7981
pl,10652
coop,3029
paul,10364
triumph,14364
next,9502
campaign,1917
cours,3118
macleans,8400
justi,7542
think,14015
stfu,13325
especi,4767
mourn,9165
waqo,15236
betray,1318
deceit,3544
trc,14318
straight,13388
sa,12178
delet,3635
incorrect,6938
tweet,14500
lpc,8324
gov,5983
spent,13122
last,7914
deal,3517
opp,9993
fog,5368
jurisdict,7536
allow,438
blame,1438
game,5691
uncheck,14626
hey,6457
gone,5954
recogn,11540
scienc,12379
evolv,4850
leav,7995
border,1577
came,1909
anthonyfurey,624
absolut,88
compli,2838
cdnmedia,2226
natnewswatch,9358
zev,15864
comprehens,2854
strategi,13397
better,1320
coordin,3031
nimbl,9548
invest,7170
moe,9064
kabbara,7578
acceler,117
execut,4879
director,3878
ipolitics,7192
ad,176
mortgag,9141
surg,13585
per,10457
cent,2277
doubl,4118
tim,14107
borrow,1585
bnnbloomberg,1515
investors,7175
are,744
main,8433
innov,7058
contribut,3010
overal,10131
debt,3533
heloc,6426
influenc,7022
price,10997
betterdwelling,1321
supplies,13564
bank,1093
energi,4620
energycrisi,4622
oilandga,9870
manitoba,8496
novascotia,9692
newbrunswick,9465
pei,10421
newfoundland,9476
petersweden,10521
thank,13886
icu,6770
bed,1232
medicin,8727
afford,243
prevent,10990
care,2037
privat,11027
healthcar,6365
lamphieryeg,7876
repeatedli,11724
accept,119
financi,5226
respons,11817
done,4090
senior,12522
deni,3672
cp,3184
down,4141
constitu,2967
stamp,13224
extent,4943
working,15579
class,2572
conscious,2929
thu,14069
lifetim,8148
peipoli,10423
stick,13326
jarogiesbrecht,7331
australia,939
nz,9766
name,9309
libertarian,8115
may,8650
lockdown,8247
declar,3558
confirm,2896
hook,6586
billion,1371
child,2421
welfar,15346
justic,7543
fake,5028
target,13733
cv,3382
somehow,13025
power,10888
daili,3411
control,3013
result,11832
favour,5100
outcom,10093
cbccalgary,2126
fed,5130
emergencyact,4545
leaf,7982
hab,6209
canuck,2004
vaxx,14999
hcw,6348
hepa,6435
etc,4785
fast,5082
track,14259
nathanstall,9333
job,7432
cut,3377
incent,6915
tow,14236
line,8175
obvious,9806
sword,13644
damocl,3429
head,6350
sacbee,12185
alway,467
shadi,12598
sob,12974
colon,2754
aliv,417
team,13770
show,12718
quo,11346
newdemochat,9471
presid,10968
joe,7439
biden,1345
sing,12810
song,13037
sheet,12644
inflat,7019
climat,2615
immigr,6847
truli,14428
men,8760
sana,12262
corpor,3065
sano,12277
impeach,6864
coupl,3110
kind,7724
passion,10323
scottwongdc,12412
addit,188
theharperdecade,13934
inform,7031
lauraannfry,7936
cell,2269
phone,10569
cellular,2271
servic,12556
pc,10396
internet,7137
connect,2917
pay,10376
premium,10955
ipoliticsca,7193
wow,15615
damn,3427
sad,12195
coloni,2756
somuchdamagetosomani,13034
marcmillervm,8532
cori,3052
morgan,9129
free,5540
derek,3713
join,7454
fill,5214
futur,5662
confeder,2891
podbean,10733
pb,10393
freealberta,5541
albertasepar,389
canadianmedicalassoci,1959
lorian_h,8295
pastor,10333
artur,799
pawlowski,10374
arrest,780
week,15331
upon,14855
back,1033
discuss,3925
protest,11132
orwellian,10038
cost,3082
airpurifi,340
medic,8718
patient,10348
treat,14325
ill,6824
dfisman,3793
sept,12539
nationaldayfortruthandreconcili,9338
victim,15058
residenti,11784
injustic,7051
endur,4614
statement,13256
zxcdkk,15918
watch,15265
theatric,13904
journey,7480
celebr,2264
refuge,11607
experi,4914
miruxp,8953
cdnimm,2221
senca,12518
ottawa,10057
public,11192
best,1307
approv,712
